phrase;word_count;items_total;calendar_count;calendar_pct;forwarding_count;forwarding_pct;knowledge-base_count;knowledge-base_pct;none_count;none_pct;matching_ids
ich kann;2;3;3;4.3;0;0.0;0;0.0;0;0.0;SP-006, ZE-012, ME-003
ich lese;2;3;0;0.0;0;0.0;0;0.0;3;3.0;SP-022, EC-009, CH-018
ihr betrieb;2;3;0;0.0;0;0.0;3;3.3;0;0.0;CH-003, CH-005, CH-016
in die;2;3;3;4.3;0;0.0;0;0.0;0;0.0;SC-014, ME-007, ME-016
in ihrer;2;3;2;2.9;0;0.0;1;1.1;0;0.0;SP-023, ME-001, ME-005
in welchen;2;3;0;0.0;0;0.0;3;3.3;0;0.0;HH-005, HH-006, CH-005
influencer relations;2;3;0;0.0;0;0.0;2;2.2;1;1.0;PI-007, PI-008, PI-009
ist der;2;3;1;1.4;2;5.0;0;0.0;0;0.0;HH-025, HH-046, ZE-010
ist gerade;2;3;0;0.0;2;5.0;0;0.0;1;1.0;SP-048, SP-057, HH-038
ist noch;2;3;2;2.9;0;0.0;0;0.0;1;1.0;SP-011, ZE-014, ZE-017
kann man;2;3;0;0.0;0;0.0;3;3.3;0;0.0;SP-039, ZE-024, ZE-025
kundenservice sprechen;2;3;0;0.0;2;5.0;0;0.0;1;1.0;HH-052, HH-056, HH-057
könnte ich;2;3;3;4.3;0;0.0;0;0.0;0;0.0;SP-007, SP-008, ZE-021
mein anliegen;2;3;1;1.4;1;2.5;0;0.0;1;1.0;HH-023, SC-009, ME-003
meine partnerin;2;3;2;2.9;0;0.0;0;0.0;1;1.0;IM-019, IM-020, IM-021
mit einem;2;3;0;0.0;2;5.0;1;1.1;0;0.0;SP-062, HH-057, CH-005
mit ihrem;2;3;0;0.0;3;7.5;0;0.0;0;0.0;HH-052, HH-053, HH-055
mit jemandem;2;3;0;0.0;3;7.5;0;0.0;0;0.0;HH-041, HH-043, HH-050
moment ich;2;3;0;0.0;0;0.0;0;0.0;3;3.0;SP-022, HH-013, CH-018
montag oder;2;3;2;2.9;0;0.0;0;0.0;1;1.0;ZE-019, ZE-020, ZE-021
moonlight porzellan;2;3;0;0.0;0;0.0;2;2.2;1;1.0;SP-031, SP-032, SP-033
nicht um;2;3;0;0.0;0;0.0;2;2.2;1;1.0;HH-014, ZE-020, PI-005
noch ein;2;3;2;2.9;0;0.0;0;0.0;1;1.0;SP-016, SC-006, ME-020
noch etwas;2;3;2;2.9;0;0.0;1;1.1;0;0.0;SP-005, HH-012, ME-017
oder donnerstag;2;3;2;2.9;0;0.0;0;0.0;1;1.0;ZE-019, ZE-020, ZE-021
oder kann;2;3;0;0.0;0;0.0;3;3.3;0;0.0;SP-032, ZE-025, CH-007
prüfen sie;2;3;3;4.3;0;0.0;0;0.0;0;0.0;SP-008, SP-014, ZE-019
sich erledigt;2;3;0;0.0;0;0.0;0;0.0;3;3.0;SP-040, HH-022, HH-054
sie uns;2;3;3;4.3;0;0.0;0;0.0;0;0.0;SP-012, IM-021, SC-008
sind bei;2;3;0;0.0;0;0.0;2;2.2;1;1.0;SP-034, EC-009, CH-019
sofort jemanden;2;3;0;0.0;3;7.5;0;0.0;0;0.0;SP-043, SP-046, SP-053
stadtwerken durchstellen;2;3;0;0.0;3;7.5;0;0.0;0;0.0;HH-028, HH-030, HH-039
termin buchen;2;3;3;4.3;0;0.0;0;0.0;0;0.0;SP-010, ZE-008, SC-019
termin festlegen;2;3;2;2.9;0;0.0;0;0.0;1;1.0;SP-003, ZE-013, ME-019
tüv prüfung;2;3;0;0.0;0;0.0;2;2.2;1;1.0;ZE-034, ZE-035, ZE-036
um eine;2;3;0;0.0;0;0.0;3;3.3;0;0.0;AM-012, HH-014, PI-005
und könnte;2;3;3;4.3;0;0.0;0;0.0;0;0.0;IM-005, SC-005, SC-016
unsere gruppe;2;3;0;0.0;1;2.5;0;0.0;2;2.0;SP-038, SP-055, SP-056
welche möglichkeiten;2;3;0;0.0;0;0.0;3;3.3;0;0.0;AM-003, AM-005, PD-015
welche zahlungsarten;2;3;0;0.0;0;0.0;3;3.3;0;0.0;AM-007, AM-008, PD-014
wie viele;2;3;0;0.0;0;0.0;2;2.2;1;1.0;SP-037, SP-038, SP-039
wir brauchen;2;3;0;0.0;2;5.0;0;0.0;1;1.0;SP-043, SP-048, PD-004
woche etwas;2;3;3;4.3;0;0.0;0;0.0;0;0.0;ZE-014, SC-005, SC-006
würden sie;2;3;3;4.3;0;0.0;0;0.0;0;0.0;SP-006, ZE-005, SC-014
zur tüv;2;3;0;0.0;0;0.0;2;2.2;1;1.0;ZE-034, ZE-035, ZE-036
